text,topic
"My name is Deborah Juarez, president of the council. Will the clerk please call the roll? Yes.",admin
Will the Clerk please call the roll on the passage of the bill? Councilmember Nelson? Aye.,admin
"Okay, not seeing any. Will the clerk please call the roll on the passage of the bill? Council Member Nelson?",admin
"All right, not seeing any. Madam Clerk, will you please call the roll? Council Member Nelson?",admin
"Roll roll. We have two members present. Councilmember Perkins, present.",admin
My apologies. Will the clerk please call the roll. Councilmember Herbold?,admin
"I'm Deborah Juarez, Chair of the Committee. Will the clerk please call the roll? Council Member Peterson.",admin
The motion has been moved and seconded. There's no further discussion. Will the clerk please call the roll?,admin
Will the clerk please call the roll? Council Member Peterson. Yes.,admin
I will call the roll. Is the regularly scheduled meeting of the sustainability committee and I will call the roll. Councilmember Sawant?,admin
"It is 9.36 a.m. I'm Lisa Herbold, Chair of the Committee. Council Member Lewis is excused.",admin
Will the Clerk please call the roll? Council Member Mosqueda. Council Member Mosqueda.,admin
Will the clerk please call on the roll on the passage of the amended bill? Council member Mosqueda. Aye.,admin
"I'm Deborah Juarez. Madam Clerk, will you please call the roll? Councilmember Peterson?",admin
Will the clerk please call the roll on the passage of the bill. That's a member of Peterson. Yes.,admin
"I'm Sarah Nelson, chair of the committee. Will the clerk please call the roll? Councilmember Sawant?",admin
All right. Will the clerk call the roll? I'm sorry.,admin
Will the clerk call the roll on the committee recommendation that the bill pass? Councilmember Sawant? Councilmember Strauss?,admin
"I'm Dan Strauss, chair of the committee. Will the clerk please call the roll? Councilmember Peterson?",admin
It has been moved and seconded to suspend the rules to allow for a vote on Council Bill 120265 on the same day as the public hearing. Will the clerk please call the roll? Clerk Peterson?,admin
Thank you. It has been moved and seconded to recommend passage of Council Bill 120265. Will the clerk please call the roll?,admin
Will the clerk please call the roll? Councilmember Peterson? Yes.,admin
Will the clerk please call the roll? Council Member Strauss? Present.,admin
"Clerk, can you please call the roll? Council Member Strauss? Present.",admin
"So anyhow, thank you. Not seeing any more comments or hands raised. Will the clerk please call the roll on the passage of the bill?",admin
