infra,session_id,sentence,label
cdp-seattle-21723dcf,79e99b4d52d7,There are no public commenters.,other
cdp-seattle-21723dcf,79e99b4d52d7,I don't believe we have anyone signed up for public comment.,other
cdp-seattle-21723dcf,79e99b4d52d7,We are adjourned.,other
cdp-seattle-21723dcf,79e99b4d52d7,"And unfortunately, the pandemic has changed that quite a bit.",other
cdp-seattle-21723dcf,79e99b4d52d7,Chair Morales?,other
cdp-seattle-21723dcf,79e99b4d52d7,Is there a second?,other
cdp-seattle-21723dcf,79e99b4d52d7,And I'm very excited about this opportunity to serve on the commission.,other
cdp-seattle-21723dcf,79e99b4d52d7,"Yes, thank you.",other
cdp-seattle-21723dcf,79e99b4d52d7,Great.,other
cdp-seattle-21723dcf,79e99b4d52d7,I'm Ryan Bush.,other
cdp-seattle-21723dcf,79e99b4d52d7,If that's of interest.,other
cdp-seattle-21723dcf,79e99b4d52d7,"Thank you, Council Member.",other
cdp-seattle-21723dcf,79e99b4d52d7,It's a citywide question.,other
cdp-seattle-21723dcf,c680bc60dca9,The public comment period is now open.,start
cdp-seattle-21723dcf,c680bc60dca9,"At this time, I will be opening the remote public comment period.",start
cdp-seattle-21723dcf,c680bc60dca9,The public comment link is also listed on today's agenda.,other
cdp-seattle-21723dcf,c680bc60dca9,I was active in the tax Amazon and the Black Lives Matter movement last year.,other
cdp-seattle-21723dcf,c680bc60dca9,"Coco Weber, star 6 to unmute.",other
cdp-seattle-21723dcf,c680bc60dca9,Hello.,other
cdp-seattle-21723dcf,c680bc60dca9,"And Councilmember Johnson, Olivia Johnson, we still have you on the screen here.",other
cdp-seattle-21723dcf,c680bc60dca9,Ala?,other
cdp-seattle-21723dcf,c680bc60dca9,I'm calling in today to support the solidary budget proposal that includes over $16 million in investment that will directly impact the lives of underprivileged members of the Duwamish Tribe.,other
cdp-seattle-21723dcf,c680bc60dca9,I'm with Chinatown International District Business Improvement Area in Council District 2 and 7.,other
cdp-seattle-21723dcf,c680bc60dca9,"First of all, I want to thank you that you are counting us in this budget of the city, 30,000 workers, domestic workers are part of the decisions of the city.",other
cdp-seattle-21723dcf,c680bc60dca9,Now we want to move towards the implementation to show the community that even though there's been a 15-year journey it's still worth being done.,other
cdp-seattle-21723dcf,c680bc60dca9,I see your hand up.,other
cdp-seattle-21723dcf,1ca25fd1350f,The public comment period is now.,start
cdp-seattle-21723dcf,1ca25fd1350f,The public comment period is going to be 20 minutes.,other
cdp-seattle-21723dcf,1ca25fd1350f,I will move on to public comment and give the the the normal admonitions hear about the remote public comment period.,start
cdp-seattle-21723dcf,1ca25fd1350f," So if that's the case, I think that we will close the public comment period and proceed forward with the agenda.",end
cdp-seattle-21723dcf,1ca25fd1350f,Bill and it has been reviewed by law.,other
cdp-seattle-21723dcf,1ca25fd1350f,"If we know that's typically that donations would be made with the donor or granting agency, stipulating conditions.",other
cdp-seattle-21723dcf,1ca25fd1350f,"So, you know, there's been a lot of people coming out of the woodwork who who are really just interested in contributing to something that's going to make a tangible difference.",other
cdp-seattle-21723dcf,1ca25fd1350f,We've been getting for the last,other
cdp-seattle-21723dcf,1ca25fd1350f," Oh, capabilities in place for this weekend.",other
cdp-seattle-21723dcf,1ca25fd1350f,The rest of you don't have to think about that.,other
cdp-seattle-21723dcf,1ca25fd1350f,A follow-up questions.,other
cdp-seattle-21723dcf,1ca25fd1350f,"This is specifically for a smoke event, a wildfire, smoke event, but I imagine and correct me if I'm wrong.",other
cdp-seattle-21723dcf,1ca25fd1350f," I'll be opened by a determination by the various executive departments that there is a, you know, either a smoke emergency or an extreme heat, emergency, maybe just some conversation.",other
cdp-seattle-21723dcf,1ca25fd1350f,I,other
cdp-seattle-21723dcf,72d669a798e7,And we will start with 20 minutes of public comment this morning and then move right into it.,other
cdp-seattle-21723dcf,72d669a798e7,"Last week, the FDA announced that the comment period had been extended for another 90 days based on the scope of the document and request from community.",other
cdp-seattle-21723dcf,72d669a798e7,"So if you intended on making comments about the budget, I'd ask for you to hold those comments until we convene as a select budget committee, which will happen as soon as we adjourn here.",other
cdp-seattle-21723dcf,72d669a798e7,We are adjourned.,other
cdp-seattle-21723dcf,72d669a798e7,"The report spotlights the department's 2020 response to COVID-19, to the COVID-19 pandemic.",other
cdp-seattle-21723dcf,72d669a798e7,"Hearing none, we'll go ahead and go down the line.",other
cdp-seattle-21723dcf,72d669a798e7,"Yesterday, Seattle Times carried a really helpful article with some great tips for a safe holiday gathering.",other
cdp-seattle-21723dcf,72d669a798e7,"Thank you very much, Council President.",other
cdp-seattle-21723dcf,72d669a798e7,"Last Friday, my office sent two budget amendments to Council Members for consideration in today's budget committee meeting.",other
cdp-seattle-21723dcf,72d669a798e7,"The Crime Prevention Coordinator, Mark Solomon, has been in I think every meeting with community.",other
cdp-seattle-21723dcf,72d669a798e7,I knew I was going to get it wrong.,other
cdp-seattle-21723dcf,72d669a798e7,And there's a lot there.,other
cdp-seattle-21723dcf,72d669a798e7,Thank you so much.,other
cdp-seattle-21723dcf,72d669a798e7,"Hearing none, we'll go ahead and go down the line next up is Councilmember Strauss and then after customer stress is customer for both.",other
cdp-seattle-21723dcf,6975777e9223,At this time we will open the remote general public comment period.,start
cdp-seattle-21723dcf,6975777e9223,The public comment link is also listed on today's agenda.,other
cdp-seattle-21723dcf,6975777e9223,The regular public comment period for this committee meeting is now open and we will begin with the first speaker on the list.,start
cdp-seattle-21723dcf,6975777e9223,The public comment period for this meeting is up to 20 minutes.,other
cdp-seattle-21723dcf,6975777e9223,I will moderate the public comment period in the following manner.,other
cdp-seattle-21723dcf,6975777e9223,"So council members, if there's no objection, I'll open the public hearing for this item.",other
cdp-seattle-21723dcf,6975777e9223,The naming of this bridge after Representative John Lewis is a start and a good start to good trouble.,other
cdp-seattle-21723dcf,6975777e9223,"Todd, appreciate it.",other
cdp-seattle-21723dcf,6975777e9223,Juarez?,other
cdp-seattle-21723dcf,6975777e9223,Some of them as early as many of them as early as 2017.,other
cdp-seattle-21723dcf,6975777e9223,Thank you.,other
cdp-seattle-21723dcf,6975777e9223,Thank you so much.,other
cdp-seattle-21723dcf,6975777e9223,"I am, if you go to that.",other
cdp-seattle-21723dcf,6975777e9223,Yes.,other
cdp-seattle-21723dcf,6975777e9223,"The independent auditor, Moss Adams, reviewed the utility's financial statements.",other
cdp-seattle-21723dcf,6d911f4e851c,"With that, the public comment period is now open, and we'll begin the first speaker on the list.",start
cdp-seattle-21723dcf,6d911f4e851c,The public comment period is 20 minutes.,other
cdp-seattle-21723dcf,6d911f4e851c,The public comment link is also on today's agenda.,other
cdp-seattle-21723dcf,6d911f4e851c,The public comment period is not excused or is no longer suitable for allowing our meetings to be conducted efficiently and effectively.,other
cdp-seattle-21723dcf,6d911f4e851c,And I wish I could.,other
cdp-seattle-21723dcf,6d911f4e851c,Sawant?,other
cdp-seattle-21723dcf,6d911f4e851c,"Thank you, Council Member Strauss.",other
cdp-seattle-21723dcf,6d911f4e851c,Strauss?,other
cdp-seattle-21723dcf,6d911f4e851c,David.,other
cdp-seattle-21723dcf,6d911f4e851c,So please make comments on this bill during the public hearing for this item so that there is a record for this particular bill.,other
cdp-seattle-21723dcf,6d911f4e851c,"As the Summary and Fiscal Note indicates, in early 2021 the outlook for the RSA was strong and no surcharge was expected to come back on within the next year.",other
cdp-seattle-21723dcf,6d911f4e851c,Howard?,other
cdp-seattle-21723dcf,6d911f4e851c,Go to Seattlestop.org to find out more.,other
cdp-seattle-21723dcf,6d911f4e851c,"Thank you, Council President Pro Tem.",other
cdp-seattle-21723dcf,669c54584054,"It's supposed to be open in the middle of next year, not the end of next year.",other
cdp-seattle-21723dcf,669c54584054,"And then, of course, looking forward to tomorrow night's very long and extensive public comment from the community, which I'm very much looking forward to.",other
cdp-seattle-21723dcf,669c54584054,"We don't have anything else to discuss, so we will be adjourned for today, and I will see you all at 2 o'clock.",other
cdp-seattle-21723dcf,669c54584054,Any other comments before we move into reports?,other
cdp-seattle-21723dcf,669c54584054,"And this is a combination of local solutions, but also an opportunity to continue to work together in coalitions to develop state-level recommendations in the coming months that are really going to be critical to allowing some of these additional local solutions to be sustainable and to really make the difference we need to provide the tools that our behavioral health provider community needs to adequately meet the needs of those who are experiencing behavioral health or mental health crises throughout our community.",other
cdp-seattle-21723dcf,669c54584054,We are still trying to catch up with the deficit.,other
cdp-seattle-21723dcf,669c54584054,Constituents will hear from Mayor Durkin's budget office to learn more about her proposals for the operating capital budgets.,other
cdp-seattle-21723dcf,669c54584054,"And while I'm excited that there are lots of festivities planned, I know the Seattle Indian Health Board is planning lots of different things over the next week, I think it's important that we do take that time to reflect.",other
cdp-seattle-21723dcf,669c54584054,So I'm going to release that information later this morning.,other
cdp-seattle-21723dcf,669c54584054,"For people forced to live in their cars, enforcing this rule, especially during a pandemic with the rainy and winter season upon us, could be catastrophic, costing them not only their vehicle but also their only shelter and all their possessions.",other
cdp-seattle-21723dcf,669c54584054,"The goal is to work to remind employees of the deadline and to reach those who may not have gotten regular computer access to make sure everyone knows that the deadline is there, October 18th.",other
cdp-seattle-21723dcf,669c54584054,It also forces us as working people to think about the kind of solidarity we need to build and the kind of united movement we need to organize to fight for a better society than the majority of us are able to have in the context of capitalism and imperialism.,other
cdp-seattle-21723dcf,669c54584054,Please let my office know.,other
cdp-seattle-21723dcf,a2161ab2ea79,So we will close out public comment given that there is nobody in the waiting room to give us public comment and begin on other items of business on our agenda.,end
cdp-seattle-21723dcf,a2161ab2ea79,We are going to look at the public comment sheet here.,other
cdp-seattle-21723dcf,a2161ab2ea79,There are no public comment registrants.,end
cdp-seattle-21723dcf,a2161ab2ea79,Don't we take a quick little pause for questions. I'll,other
cdp-seattle-21723dcf,a2161ab2ea79,"You seen an increased partnership or conversations from folks in the business community about how to support greater equity and access through child care on site? Well,",other
cdp-seattle-21723dcf,a2161ab2ea79,"Don't want families in low-quality child care, so we want to make sure that we're working to ensure that, you know, when we give out subsidies to a quality program, that we are providing the supports that the community needs, the provider community needs to make sure that we're maintaining quality, increasing quality. Lastly,",other
cdp-seattle-21723dcf,a2161ab2ea79,"Two different CBAs we'll be reporting on out today, and then we also have a statement of legislative intent related to labor harmony, which is currently in its final stages and will be delivered to Council later on this year. And",other
cdp-seattle-21723dcf,a2161ab2ea79,"I think we'd like to see what we can do to make the application process easier, but the main thing is there's just an expectation and a role that the city will be there because of representing both what's happening within our jurisdiction and as a funder and what we're learning and what we can help to do to kind of build a larger network. I",other
cdp-seattle-21723dcf,a2161ab2ea79,Council Member Strauss.,other
cdp-seattle-21723dcf,a2161ab2ea79,"CCAP providers need to be within city limits, and that is limiting for families who may live on the border or who may work outside the city. And",other
cdp-seattle-21723dcf,a2161ab2ea79,"Requirements, space requirements, outdoor play requirements all contribute to a fairly expensive project. And",other
cdp-seattle-21723dcf,a2161ab2ea79,"Chappelle, anything to add? Any",other
cdp-seattle-21723dcf,a2161ab2ea79,"So also thank you, Council President, for bringing this to committee today.",other
cdp-seattle-21723dcf,03e2809fffe1,"We have reached the end of our agenda, and our next meeting is actually a public hearing.",other
cdp-seattle-21723dcf,03e2809fffe1,It is out of date as of the time we submitted it to you.,other
cdp-seattle-21723dcf,03e2809fffe1,Last category here is supporting city workers and reopening.,other
cdp-seattle-21723dcf,03e2809fffe1,The meeting is adjourned.,other
cdp-seattle-21723dcf,03e2809fffe1,It's more likely that our reimbursements will be in good shape and not need additional documentation prior to going to FEMA.,other
cdp-seattle-21723dcf,03e2809fffe1,"But I do think that this governance question is one that is going to evolve over the next year and beyond as the agency stands up and, if you will, what have been the theoretical governance structures become real and start making real policy decisions and direction.",other
cdp-seattle-21723dcf,03e2809fffe1,Thank you all very much for your in-depth presentation today.,other
cdp-seattle-21723dcf,03e2809fffe1,"Community safety and violence reduction investments, and I know that's very important, of course, to Councilmember Herbold and others.",other
cdp-seattle-21723dcf,03e2809fffe1,We've also received a number of other targeted aid grants over the course of this year and anticipate yet more in the future.,other
cdp-seattle-21723dcf,03e2809fffe1,I do see Council Member Herbold.,other
cdp-seattle-21723dcf,03e2809fffe1,So this is the final out.,other
